Word,Meaning
Unimportant,trivial and of no great concern
Uninhabitable,not able to be lived in or on
Uninhabited,having no people living there
Uninhibited,outgoing; not reserved
Uninitiated,without specific knowledge or experience
Unintelligible,making no sense; not understandable
Unintended,accidental; not intentional
Uninterested,not concerned; indifferent
Union,a marriage
Unique ,without match; distinct
Unison,the condition of being in agreement or occurring at the same time
Unit,one part of component
Unitary,relating to one single unit
Unite,to join more than one thing together
United,connected together
Unity,being in harmony or full agreement
Universal,relating to everyone in the world
Universe,the world; earth.
University,a college or academic institution
Unjust,"not fair, just or right"
Unkempt,not clean or tidy
Unkind,mean; cruel
Unknown,something that is still a mystery or uncertain
Unleash,to set free from a restraint
Unless,used to show an exception
Unlike,different from; dissimilar
Unlikely,not very likely to happen; questionable
Unload,to unpack or drop off
Unlucky,having or bringing bad luck or fortune
Unmarred,free from blemishes or stains
Unmentionable,forbidden or taboo
Unmistakable,unique; easily recognizable
Unmitigated,in its entirety; complete
Unmoved,not affected by emotion or other influence
Unnatural,abnormal; strange
Unnecessary,something that is not needed
Unnerve,to make someone lose confidence; to discourage
Unnerving,"causing fear, anxiety, or loss of courage"
Unnoticed,ignored or unseen
Unobserved,not seen; overlooked
Unobtrusive,not obvious
Unofficial,not for sure or officially confirmed by the organization in charge
Unorthodox ,nontraditional
Unpalatable ,unpleasant to the taste
Unparalleled ,without comparison
Unperceived,"not noticed or recognized by the senses (sight, smell, taste, touch, hearing.)"
Unperturbed,"not concerned, worried, or disturbed"
Unpleasant,"unsavory, distasteful, or disgusting"
Unpopular,disliked or not accepted by most people
Unprecedented,previously never experienced or seen
Unpredictable,describes something that is uncertain and not able to be predicted or foretold
Unprepossessing,looking plain or ordinary
Unpretentious,"not attempting to impress others with intelligence, money, style, importance, etc; modest"
Unprincipled ,lacking a moral code
Unprofessional,not showing behavior that is expected or standard in a particular setting
Unpromising,lackluster and unlikely to gain success
Unpropitious,not favorable of likely to produce a good result
Unproven,not proved
Unpunctual,not happening or doing something on time
Unquestionably,certain; not able to be disputed
Unravel,to cause something to separate or come apart
Unreal,"unbelievable, incredible"
Unreasonable,extreme or excessive
Unredressed,refers to a wrong or injustice that has not been righted
Unrelenting,refusing to yield or compromise
Unreliable,not able to be trusted or depended on
Unremitting,continuing without any type of interruption or decrease in intensity
Unrepentant,showing no regret for one has done wrong
Unrequited,not given back
Unrest,"a state of uneasiness, restlessness, or agitation"
Unruffled,composed; self-controlled
Unruly,disruptive behavior that is wild and out of control
Unsafe,dangerous; risky
Unsatisfactory,not satisfying or good enough
Unsatisfied,not pleased or happy with something
Unsavory,unpleasant to smell or taste
Unscathed,untouched or not damaged
Unscrupulous,unconcerned about doing what is right
Unseemly ,not in good taste
Unseen,hidden or out of sight
Unselfish,generous and willing to put other needs or wants before one’s own
Unsheathed,pulled a knife or sword out from its covering
Unsightly,ugly; hideous
Unsolicited,not welcome or invited
Unsophisticated,basic; not complicated or highly developed
Unspeakable,to horrific or horrible to be expressed in words
Unstable,not balanced or steady
Unstable,unsteady or wobbly
Unstinting,generously giving
Unsubstantial,lacking firmness or strength
Unsubstantiated,not supported by evidence or proof
Unsullied,untainted; pure
Unsung,not praised or celebrated
Unsure,"not certain, having doubts about a situation"
Unsurpassed,unmatched or better than any other
Unsuspecting,"being naïve and unaware, especially of the presence of danger"
Unsustainable,not able to be maintained for long periods of time
Unsympathetic,uncaring and unwilling to show compassion to others
Untenable,not capable of being supported or maintained
Untenanted,describes a house or room that has no one living in it (vacant)
Untidy,messy and unorganized
Until,before (a specified time)
Untimely,taking place at an unsuitable time
Unto,an old form of the word “to”
Untoward ,inappropriate
Untrammeled,free; not limited or restricted
Untrue,false; wrong
Unusable,broken or unable to be used
Unused,something new that has not been used before
Unusual,rare or uncommon
Unusually,uncommonly; rarely happening
Unutterable,to intense or horrible to be described with words
Unvanquished,not beaten or defeated
Unveil,to reveal or show something
Unveiled,revealed or showed something
Unwarranted,not deserved or justified
Unwary,not cautious or aware of danger
Unwavering,never doubted; always steady and on course
Unwieldy,hard to relocate because of its size
Unwind,to relax and let go of stress
Unwise,foolish; not smart
Unwitting,ignorant or unaware
Unwittingly,ignorantly or in a way that shows one is unaware
Unwonted,something not seen often; not ordinary
Unworthy,not fit or deserving
Unwritten,not recorded in writing
Unyielding,not flexible; not easily moved or swayed
Up to date,modern; current
Up,awake
Upbeat,positive; cheerful
Upbraid,to harshly criticize
Upbringing,one’s childhood background
Upcoming,happening in the near future
Update,to keep someone informed
Upended,turned or set something upside down
Upfront,direct and honest
Upheaval,an abrupt disruption or change
Uphold,to support or defend something
Upholstery,materials used to cover furniture
Upkeep,the process of keeping something in good condition
Uplift,to inspire and encourage someone
Upon,a formal form of the word ‘on’
Uppity,"snobbish, self-absorbed, filled with self importance"
Upright,sitting or standing in a straight position
Uprising,an act of resistance or rebellion
Uproar,a situation in which many people are upset or angry
Uproarious,exceptionally funny
Upset,emotionally troubled or stressed
Upshot,the final or end result of an event or situation
Upside,a positive benefit; an advantage
Uptight,overly tense and anxious
Upward,moving towards a higher place
Urban,related to a city
Urbane,marked by sophistication
Urbanity,being suave and sophisticated
Urbanization,the process by which cities grow
Urchin,"a young child that runs through the streets in dirty clothing, behaving badly"
Urge,to strongly persuade
Urgency,a state requiring quick action
Urgent,very important and needing immediate attention
Urgently,in a way that requires quick action
Urn,a vase that is used to hold the ashes of a body that was cremated
Ursine,resembling or relating to a bear
Usage,the action of something being used
Usage,the action of using something
Use up,to consume or drain all of something
Use,to utilize or make employ something for a purpose
Useful,helpful; handy
Usefully,in a way that is beneficial or helpful
Useless,not having value or purpose
Usher,a guide that shows someone to their seats
Usual,normal; typical
Usually,normally; typically
Usufruct,a law legal right by one person over the property of another
Usurp,to take over; to seize or use something without authority
Usury,the act of lending money at ridiculously excessive rates of interest
Utensil,"a tool with a particular use, especially in a kitchen or house"
Uterus,the pear-shaped organ of a woman in which a baby forms before being born
Utilitarian,useful and not simply for appearance
Utilitarianism,an theory that says actions that are harmful to certain individuals are justified if they help the majority
Utility,useful and able to perform several different functions
Utilization,"the use of something, usually in a practical way"
Utilize,"to use something, usually in a practical way"
Utilizer,someone who uses a situation or object to their benefit
Utmost,greatest; ultimate
Utopia,a perfect world
Utter,total or complete
Utterance,spoken word; something that someone says
Uxorious,describes a man who shows great (often extreme) submission or fondness towards his wife
Vacancy,an opening or opportunity
Vacant,available; unoccupied
Vacate,leave; move out of
Vacation,a period of rest or recreation in which a person stops working or going to school and focuses on fun
Vacationer,someone out of town on a special trip
Vaccination,injection of a special substance that is made of a weakened virus or disease that is used to prevent them from getting the actual illness
Vaccine,a special substance that is made of a weakened virus or disease that is used to prevent them from getting the actual illness
Vacillate,to waver between different opinions or actions; be indecisive
Vacuity,"emptiness or blankness, often used to criticize someone or something because of lack"
Vacuole,a small cavity within the cytoplasm of a cell that contains fluid
Vacuous,containing lack of thought or intelligence; containing nothing; empty
Vacuum,to suck up dirt and other debris from a surface (usually carpet) using a household device with the same name
Vagabond,a person who wanders from place to place without a home or job
Vagarious,having erratic and unpredictable behavior
Vagary,an unpredictable action or behavior
Vagrant ,an individual who lacks regular work and moves around frequently
Vague,not described well
Vaguely,not being clear
Vail,"to lower an item or oneself as a form of respect, acknowledgment, or mourning"
Vain,without success
Vainglorious,overly proud of one’s own achievements; tending to boast about personal accomplishments
Vainglory,extreme pride in ones work that can be excessive and showy
Vainly,without success
Vale,a large flatland usually between a mountain or rock formation
Valediction,saying goodbye with an action
Valedictorian,"a student, typically having the highest academic achievements of the class, who delivers the valedictory at a graduation ceremony"
Valedictory,a big goodbye/farewell speech/announcement
Valence,highly energized electrons that are used in chemical bonding
Valentine,"a card sent, often anonymously, on St. Valentine's Day (February 14) to a person one loves or is attracted to; a person to whom one sends a card on Valentine's Day"
Valet,"a servant/employee who sees to the needs of others by performing chores like parking cars, dressing, or making plans"
Valetudinarian,a person who is unduly anxious about their health
Valiant,displaying determination or courage
Valid,of an argument or point having a sound basis in logic or fact
Validate,to demonstrate the truth of something
Validation,checking and approving the accuracy of something
Validity,"the state of being valid, authentic or genuine"
Valley,a land area that is typically long and narrow between two mountains or hills and dips into the ground usually by running water sources
Valor ,courage in the presence of danger
Valorous,brave
Valuable,"a thing that is of great worth, especially a small item of personal property"
Value,to hold something at high importance or appreciate it above other things
Value,the amount something is worth
Valve,a typically cylindrical device that can be opened and closed that is used to direct the flow of liquid or air
Vamoose ,"to run away, to flee"
Vandalism,action involving deliberate destruction of or damage to public or private property
Vane,a person who changes his mind easily
Vanguard ,the leading force; the head of something
Vanilla,ordinary and plain with no extra features or standards
Vanish,disappear from sight
Vanity,"excessive pride in or admiration of one's own abilities, appearance or achievements"
Vanquish ,"to overcome, beat, or make disappear"
Vantage,a place or position affording a good view; an advantage
Vanward,toward the forefront of an action or movement
Vapid,lacking liveliness; dull
Vapor,"a substance diffused or suspended in the air, especially one normally liquid or solid"
Vaporization,"the rapid change of water into steam, especially in a boiler"
Vaporize,convert or be converted into vapor
Vaquero,someone who rides atop a horse and herds farm animals from place to place typically in Spanish speaking regions
Variability,constantly changing and inconsistent
Variable ,capable of changing
Variance,at odds with or conflicting with
Variant,a form or version of something that differs in some respect from other forms of the same thing or from a standard
Variation,something that is slightly different from the original
Varied,showing different types or results
Variegated,"having patches, spots, or streaks of different colors from the underlying or base color"
Variety,a number of different types of the item
Various,different types of the same basic item
Various,a variety of different forms of the same basic object or idea
Varlet,a servant that often works as an attendant
Vary,to differ; usually when making comparisons
Vascular,a system that transports fluids through a living creature
Vasoconstriction,the shrinking of blood vessels that often inhibits proper circulation and increases blood pressure
Vassal,a worker of a lord who is working off his debt in return for safety from the lord
Vast Majority,almost all of a group
Vast ,gigantic in size
Vastly,to a huge or immense extent
Vat,a massive container used to hold liquid
Vatic,predicting or describing what will happen in the future
Vaudeville,"a type of theatre entertainment in the 19th and 20th centuries, consisting of short performances by dancers, singers, and comedians"
Vault,a typically spacious room used as storage for valuables
Vaunt,"brag, boast, or excessively praise"
Vector,a line that usually veers and can be the result of force
Veer,to swerve or change direction
Vegetarian,someone who chooses to abstain from eating meat
Vegetate,"to exist in a meaningless, unchallenging, and lazy state"
Vegetation,plant life that often covers the expanse of an area
Vehemence,intensity and forcefulness
Vehement,deeply felt; passionate
Vehemently,to do something forcefully and often passionately
Vehicle,a mechanical vessel used to transport someone or something
Veil,a head covering that may or may not cover the whole face that is often associated with religious or cultural customs
Vein,vessels beneath skin that transport blood
Velleity,to weakly wish or desire something without taking action to achieve it
Velocity,the rate of action or motion
Velvety,having a smooth or soft texture
Venal,willing to do dishonest things in return for money; willing to take bribes
Vend,to offer small items especially food for sale from a machine or small cart
Vendetta,a series of actions taken to get back at or harm someone
Vendible,having the ability to be sold
Vendor,a person who sells something
Veneer,a pleasant appearance that hides the truth
Venerable,"worthy of respect because of age, position, or dignity"
Venerate,to respect or worship someone or something
Veneration,great respect or awe for another
Vengeance,revenge for a wrong
Vengeful,someone who is consumed by or actively seeking revenge for a wrong doing
Venial,capable of being excused
Venison,"edible flesh of hunted game animal, typically deer"
Venom,"a poisonous substance secreted by animals such as snakes, spiders, and scorpions and typically injected into prey or aggressors by biting or stinging"
Venomous,"of animals, especially snakes, or their parts secreting venom; capable of injecting venom by means of a bite or sting"
Vent,"an opening that allows air, gas, or liquid to pass out of or into a confined space"
Ventilate,"cause air to enter and circulate freely in (a room, building, etc."
Ventilation,the ability of a room/place to intake fresh air
Ventilator,a machine that helps lungs function when the body is incapable
Ventral,refers to the underside of a plant or animal; close to the abdomen
Ventriloquist,"a person who can speak or utter sounds so that they seem to come from somewhere else, especially an entertainer who makes their voice appear to come from a dummy of a person or animal"
Venture ,an undertaking that has some risk attached
Venturesome,having the tendency to willingly take risks or dangerous adventures
Venue,"the place where something happens, especially an organized event such as a concert, conference, or sports event"
Veracious,honest; always truthful
Veracity,the quality of being truthful
Veranda,"a covered area outside a house, usually a large porch"
Verbal irony,use of words to say one thing but mean another
Verbal,spoken aloud
Verbatim,repeating the exact words that were used
Verbiage,speech or writing that uses too many words or excessively technical expressions
Verbose,described as using an excessive amount of words
Verboten,"forbidden, prohibited"
Verdancy,becoming green with plants and vegetation
Verdant,green with grass or other rich vegetation
Verdict,a decision made after much consideration
Verdure,a thriving condition
Verge,"at the edge of, border of, or between two distinct sites"
Verifiable,"able to be checked or demonstrated to be true, accurate, or justified"
Verification,the process of confirming the truth or validity of a claim/document
Verify,to prove or confirm something
Verily,truly; certainly
Verisimilar,seemingly truthful or likely
Verisimilitude,the appearance or semblance of truth
Veritable,"used to highlight the realness of a person, place, or thing"
Veritably,extremely or greatly as compared to something else
Verity,the condition of being real or true
Verklempt,overwhelmed by emotion
Vermilion,bold reddish-orange color
Vermin,individuals or animals that cause trouble for others
Vernacular,everyday language; the way people really talk with each other
Vernal,fresh or youthful or immature attributes
Versatile,having the ability to do a number of things well
Verse,"a line of writing often found in poems, lyrics, and religious texts"
Versed,experienced or skilled in something
Version,an alternative to the original. usually used to make a comparison
Version,a specific form of something that is slightly different from earlier styles
Versus,in opposition to something
Vertebrate,an animal of any species that has a backbone or spinal column
Vertex,the tapering point where two lines meet
Vertical,ascending upwards and downwards in a straight line
Vertiginous,suffering from dizziness
Vertigo,"the feeling of spinning and being lopsided, often as a result of an inner ear problem"
Verve,a combination of passion and energy that is typically found in artistic expression
Very,extremely; to a great extent
Vesicle,a fluid-filled pouch typically beneath the outer membrane; most common forms are blisters and cysts
Vespertine,taking place or happening at night
Vessel,a large ship that typically houses some sort of cargo
Vest,a sleeveless garment worn on the upper part of the body for a particular purpose or activity
Vestal,"chaste, pure, virginal"
Vested,"rights, benefits, or privileges that are typically inherent or legally guaranteed"
Vestibule,a hallway or room that leads into a larger main room
Vestige,the last small part of something that existed before
Vestigial,an organ or limb that is no longer in use due to evolution but may be used for other unintended purposes
Vestment,"a religious marking, clothing, etc., that is typically worn for symbolic purposes"
Vestry,"a room in a religious building used for meetings, gatherings, classes, etc"
Vesture,a robe or garment used as clothing
Vet,to assess for specific qualities (positive or negative) before making a final decision
Veteran,one who has a lot of experience in a particular field or position
Veterinarian,a licensed doctor that examines and prescribes medications for animals
Veto ,to forbid something
Vex,"to bring trouble, distress, or agitation to"
Vexation,the condition of being agitated
Vexatious,annoying; irritating
Vexed,irritated
Via,by way of; through
Viable,having the possibility of being achieved or developed
Viaduct,"a bridge or overpass that carries a road or railroad track over something (i.e. a canyon, valley.)"
Vial,"a small, glass container that holds liquid (usually medicine.)"
Viand,a tasty piece of food or dish
Viaticum,holy communion as administered by a Catholic priest to a person dying or in danger of death
Vibrant,bright and strong; energetic
Vibration,shaking; back and forth movement
Vicar,a priest of the Church of England who oversees a particular church and the area that surrounds it
Vicarious,"experienced or felt by watching, hearing about, or reading about someone else rather than by doing something yourself"
Vice versa ,with the order reversed
Vice ,an unpleasant habit
Vicennial,happening every twenty years
Viceroy,"one who governs a country, province, or colony as the representative of a monarch"
Vicinity,nearby area
Vicious,"violent, destructive and cruel"
Viciously,done in a cruel or violent way
Vicissitude,"a change of circumstances or fortune, typically one that is unwelcome or unpleasant."
Vicissitudes,changes (usually negative) in circumstances or fortune
Victim of circumstance,a person who has suffered at the hands of someone else or a situation that is out of their control
Victim,a person who suffers because of the actions of someone else or an event that was out of their control
Victim,someone who has suffered at the hands of someone else
Victimized,treated cruelly or unfairly
Victorious,conquering and triumphant; having won a victory
Victory,a win or success
Victuals,food
Vide,a word used to tell a reader to see or consult a different part of the text
Videlicet,namely; to be specific
Video,to record or capture something on film
Vie,to take part in a contest or competition
View,to look at something
Viewpoint,someone’s perspective or position on something
Vigil,"period of keeping awake during normal sleeping hours, especially to keep watch or pray"
Vigilance,the state of keeping a careful watch for danger
Vigilant,"watchful, especially for danger or disorder"
Vigilante,a person who is not a member of law enforcement but who pursues and punishes criminals
Vigilantly,done with great care and watchfulness
Vignette ,a short but meaningful account
Vigor,physical or mental strength/force
Vigorous,active and strong in a physical sense
Vigorously,done with a great deal of physical or mental force or effort
Vile,of low morals; despicable
Vilely,in an evil or wicked way
Vilified,to have slandered or spoken negatively about someone in a way that brings them down
Vilify,to utter slanderous and abusive statements against
Vilipend,to belittle someone or something through bad-mouthing or degrading statements
Village,a small town or settlement
Villain,an evil character in a story
Villain,a character in a story that fights against the hero and does evil things
Villainous,having evil or mean tendencies or actions
Villainy,evil behavior or actions
Vim,energy; enthusiasm
Vincible,able to be overcome or defeated
Vindicate,"to clear from an accusation, suspicion or criticism"
Vindication,to prove that someone is not guilty of wrongdoing
Vindictive,having or showing a desire to hurt someone who has hurt or caused problems for you
Vindictiveness,a strong desire for revenge or payback
Vine,a plant that gets its support by growing in a climbing or twisting way around a surface
Vinous,wine-colored
Vintage,antique; old-fashioned
Vintner,someone who makes and sells wine
Violate,to break or fail to comply with a rule or formal agreement
Violation,"in breach of a rule, law, or agreement"
Violence,the use of physical force to harm someone
Violent,involving the use of physical force to harm someone
Violent,using or involving the use of physical force to cause harm or damage to someone or something
Virago,bad-tempered woman
Viral,"something (a video, image, an advertisement) that is circulating rapidly on the internet"
Virile,having or relating to manly traits
Virile,having the characteristics of a man; masculine
Virility,"being manly or masculine, especially in strength"
Virtual,something that is a digitally replicated version of something real
Virtual,carried out or accessed over a computer
Virtually,nearly; almost
Virtue,a moral and praiseworthy trait
Virtues,qualities or merits that make up one’s personality
Virtuosity,great skill in music or another artform
Virtuoso,a person (esp. a musician) who does something in a very skillful way
Virtuous,having strong moral fiber
Virulence,the ability of a microorganism or bacteria to produce disease
Virulent,extremely dangerous and deadly and usually spreading very quickly
Virus,tiny organisms that cause disease and must have a cell host to multiply
Vis a vis,face to face; in person
Visa,an official mark or stamp on a passport that allows someone to enter or leave a country for a specific reason or amount of time
Visage,the facial appearance of an individual or animal
Viscera,"internal organs, specifically the body’s intestines"
Visceral,based on emotional reactions rather than on reason or thought
Viscid,sticky; gooey
Viscosity,the thickness of a liquid or its resistance to movement
Viscount,a lower-middle ranking english nobleman
Viscous ,having the characteristics of being sticky and/or thick and slow to move
Visibility,the ability to see or be seen
Visible,able to be seen
Visibly,clearly; noticeably
Vision,the ability to see
Visionary ,using foresight and imagination to plan for the time ahead
Visit,to go to see a person or place
Visitant,a visitor from the spirit world
Visitation,a set period of time in which people get to see and spend time with each other
Visitor,a person who goes to see a person or place
Visits,goes to see a person or place
Vista,a distant view or scene
Visual,relating to eyesight
Visualize,to form a mental image of someone or something; imagine
Vital,essential for something
Vitality,energy; strength
Vitamin,a natural substance that is needed for normal growth
Vitiate,"to spoil, make faulty; to reduce the value, quality, or effectiveness of something"
Vitiated,having ruined something or made it faulty
Vitriol,mean-spirited and venomous criticism or talk
Vitriolic,harsh or corrosive in tone
Vituperate,to insult or verbally attack someone using abusive language
Vituperative,abusive and harsh
Viva Voce,By word of mouth (orally)
Vivacious,to be bubbly and energetic
Vivaciously,done is a lively or spirited way
Vivaciousness,liveliness; energy
Vivacity,the state of being attractive because of one’s enthusiasm and liveliness
Vivid ,colorful; bright
Vivify,"to arouse, stimulate or invigorate"
Viviparous,describes animals that produce live babies instead of reproducing through eggs
Vivisection,purposely wounding or slitting open an animal in order to examine it for medical purposes
Vocal,speaking loudly and freely about something
Vocation ,the job a person holds or would like to hold
Vociferate,"to shout, argue, or otherwise speak loudly or aggressively"
Vociferous,making a loud outcry
Vogue,a trend or largely admired fad
Voice,the sound produced in a person’s larynx that passes out of the throat/mouth
Void ,not legal
Volant,to spread wings outward as if to fly
Volar,relating to the sole of the foot or palm of the hand
Volatile,tending to erupt in violence; easily aroused
Volcano,"a mountainlike opening in the earth’s crust through which molten lava, rocks, and gas spews out"
Volitant,flying or moving about rapidly
Volition,the power to make your own decisions or choices
Volley,a strike or kick of the ball made before it touches the ground during a sporting event or game
Voluble,characterized by ready or rapid speech; fluent
Volume,the power of sound; how loud something is
Voluminous,spacious; roomy
Voluntary,done or given without being forced to do so
Volunteer,to donate time or energy to a cause usually charitable
Voluptuous,displaying luxury and giving pleasure to the senses
Vomit,to eject/throw up food and other matter from the stomach through the mouth
Voracious,having a large appetite; greedy
Voracity,extreme hunger for food or an activity that is powerful and consuming
Vortex,"a movement or force, usually circular in shape, that pulls things into its stream or current"
Votary,"A person, such as a monk or nun, who lives a religious life according to vows they have made"
Voter,a person who casts a vote in an election
Votive,dedicated or given in fulfillment of a vow or pledge
Voucher,piece of paper that entitles the holder to a discount
Vouchsafed,granted as a favor or honor
Vow,"an unwavering decision, usually of great importance to those involved"
Vowel,"a speech sound (a, e, I, o, or u) you make with your mouth open and your tongue in the middle"
Voyage,an account of a trip especially one made in a boat
Voyeuristic,getting pleasure from secretly watching other people taking their clothes off or having sex
Vulgar,without taste; inappropriate
Vulnerable,exposed or in a position that cannot be completely defended
Vying,involved in a competition for something
Waddle,to take small steps while walking in a stumbling way
Wade,to walk or paddle through water or another liquid
Waft ,to advance gently through the air
Wag,(of an animal) to cause one’s tail to move back and forth rapidly
Wager,to bet or gamble
Waggish,acting in a mischievous manner
Waif,a very skinny and lanky girl or young woman
Wail,"a loud, long, and often anger or pain-filled cry"
Waist,the part of the human body above the hips and below the rib cage
Waive,to give up one’s rights or claims
Waiver,a document that records the fact that someone has given up the right to a claim
Wake,to emerge from a state of sleep
Wallop,to hit hard
Wallow,to indulge in one’s emotions
Wallowing,to roll about in a lazy or relaxed manner
Wan,weak or pale in quality or appearance
Wander,to stray from a path or walk about without a purpose
Wanderlust,a deep urge to travel
Wane,to gradually decrease in value or intensity
Waning,a gradual decline in strength or power
Wanton,"having no concern for the rights, feelings, or safety of others"
War,a state of conflict between two countries or groups of people
Warden,the person in charge of a jail or prison
Wardrobe,a person’s entire collection of clothing
Ware,a good that can be purchased
Warfare,involvement in the activities of armed conflict (war)
Warily,carefully; with caution
Wariness,the state of being cautious about things that could be dangerous or problematic
Warning,a sign or signal that something is going to happen
Warp,to twist into a different or abnormal shape
Warrant,"a document issued by the court that gives the police the authority to do something (to enter a place, to arrest a person.)"
Warranted ,necessary; needed
Wary,caution; guarded; careful
Washable,able to be washed or cleaned
Wasp,a winged insect that stings and creates a paper nest from wood pulp
Wassail,an early English toast to someone's health
Waste,to misuse something or to use it carelessly
Wasteful,using something in a careless or uncaring way
Wasteland,an unused area of land that is barren and devoid of growth
Wastrel,an individual with a tendency to waste resources and time
Watch,to keep one’s eyes on something
Watchdog,a person or organization who focuses on making sure others don’t act in a way that is illegal or unethical
Watchful,alert; on the lookout
Water,clear liquid that that is used for drinking or washing that falls from clouds as rain
Waterfall,a cascade of water falling from a high place down to a low place
Watershed,a turning point or milestone
Wave,"to move one’s hand back and forth as a signal, usually a greeting"
Wavelength,a person’s way of thinking or idea
Waver,to be uncertain
Wavering,hesitating or becoming doubtful about a decision
Wax,"to expand or enlarge in appearance, amount or power"
Waxing,the process of covering a surface with wax in order to protect it or make it shine
Way,"a road, path, or another thoroughfare through which one can travel"
Waylaid,laid in wait for someone only to stop or attack them
Waylay,"to actively block an individual’s path in order to interrogate, detain, etc."
Wayward ,off the expected path
Weak,not strong; lacking power or might
Weaker,having less strength or power
Weakling,a coward who is too afraid and weak
Weakly,doing something in a way that is not strong or lacks power
Weakness,lacking strength or power
Weal,a welt or red mark left on the body after a blow
Wealth,"a large amount of money, property, or possessions"
Wealthy,"having a large amount of money, property, or possessions"
Wean,to gradually eliminate a thing from your life
Wear,to have on one’s body such as clothing or protective gear
Wearily,doing something in a tired way with little energy or patience
Weariness,tiredness; exhaustion
Wearisome,tiring or exhausting
Weary,worn out; exhausted
Weather,the state of the air and atmosphere in a specific place and time
Weathered,worn and battered
Weathering,"the act of weather conditions altering the state of material, whether it be texture, color, etc"
Weave,to move back and forth or side to side
Wed,to marry
Wedded,married
Wedding,a marriage ceremony
Wedge,to cram force something into a narrow space
Wedlock,marriage
Wee,very small; a little
Weed,a wild plant growing where it is not wanted
Week,"a period of seven days, starting with Sunday and ending on Saturday"
Weep,to cry
Weigh,to measure how heavy something is
Weight,"the heaviness of something, specifically its mass"
Weightlessness,the state of being weightless or not held down by gravity
Weightlifter,someone who takes part in a sport or activity in which they lift heavy weights or barbells
Weightlifting,a sport or activity in which one lifts heavy weights or barbells
Weighty,heavy; hefty
Weird,strange or unusual
Welcome,to greet someone in a polite or friendly way
Welcomed,accepted; embraced
Welcoming,friendly; warming
Welfare,wellbeing; health
Welkin,the sky; heaven
Well-being,refers to one’s health or safety
Well-deserved,understandably gained or merited
Well-Known,famous; popular
Well-versed,"to be talented, familiar, and informed of something specific"
Well,satisfactory; good
Wellaway,a word used as an expression of sorrow or distress
Wellness,the state of being in good health
Welt,"a swollen, red mark on the body made by a blow or chemical"
Weltanschauung,a person’s philosophy of life or worldview
Welter,wild disorder
Wend,to follow a set direction or path
Wept,to cry bitterly
Werewolf,"a person believed to change into a wolf some of the time, especially at night when there is a full moon"
West,the direction toward the point of the horizon where the sun set
Westernization,"adoption of western traditions or ideas, specifically the traditions of any culture that originally came from Europe"
Wet,"covered with a liquid, usually water"
Wetland,"land that has wet soil, such as a marsh or a swamp"
Whack,to hit or strike something sharply
Whale,an extremely large ocean mammal that breathes through an opening on the top of its head
Wham,a strike of great force
Whammy,a situation where two unpleasant things happen at the same time
Wharf,a platform built on or along water where ships can load/unload goods or passengers
Whatchamacallit,a word used when the actual name of the object in question will not come to mind
Whatever,anything; any
Whatnot,a word used to indicate additional things of any kind that you don't feel like naming
Whatsoever,in any way; at all
Wheat,"a cereal grain that is ground to make flour for bread, pasta, pastry, etc"
Wheedle,to try and persuade using flattery
Wheel,a circular object that revolves around a bar and axle and is usually used for movement of some kind
Wheelchair,a chair on mounted wheels that is used for transportation by a person who can’t walk
Wheeze,to breathe with a whistling or rattling sound in the chest
Whelm,to bury something by engulfing or submerging it
Whelp,a baby dog or wolf; a puppy
Whence,from what place or source
Whenever,at whatever time
Whereabouts,the place where something is located
Whereby,by which or through which
Wherein,in which
Whereof,with or by which
Whereupon,right after; closely following
Wherewithal,money or funds needed for a purchase or project
Whet,to trigger or make desire
Whether,expressing a doubt or choice between two different things
Whetstone,a sharpening stone that is used to sharpen knives or other tools
Whey,the watery part of milk that remains after curds are formed
Which,used to show which particular object one is talking about
Whiff,a smell or aroma
While,a period of time
Whilom,former; past
Whilst,while or during
Whim,a sudden desire to do something unplanned
Whimper,a low cry that is used to express pain or unhappiness
Whimsical,in an amusing or playful manner
Whimsy,the quality of being amazing or fantastic
Whine,"a long, high-pitched sound"
Whip,to beat or thrash
Whiplash,an injury caused by a severe jerk to the head/neck
Whipsaw,to move or make something move quickly between two different directions
Whirl,to twirl or spin
Whirlwind,something that involves many quickly changing events or emotions
Whisk,to take or move something away quickly
Whisper,to speak very softly using one’s breath but not vocal cords
Whist,a card game played by four people (two per team) in which each side tries to win more cards than the other
Whistle,to make a signal through a high pitch sound by forcing air through a small hole
Whistleblower,a person who informs a higher power that an organization is doing things that are illegal
White-collar crimes,"nonviolent, money motivated crimes that are committed by professionals or businesses"
White-collar job,a position that requires the worker to perform professional duties in an office setting
White-collar worker,an professional whose work is performed in an office or administrative setting
Whitelist,a list of items that are granted access to a certain system or protocol
Whither,to which place or position
Whittle,to reduce or gradually eliminate something
Whiz,a person that is naturally good or clever at something
Whoever,whichever person or people
Whole,the entire thing
Wholeheartedly,fully; without reserve
Wholesome,considered ethical or of good moral standing
Wholly,totally or completely
Whom,"used instead of ""who"" as the object of a verb or preposition"
Whoop-de-do,a commotion or frenzy of activity or excitement
Whoop-de-doo,"used sarcastically, indicating a lack of enthusiasm"
Whose,belonging to or associated with which person
Wicked,evil
Wicked,morally wrong or evil
Wickedness,evilness that is morally wrong or harmful
Widen,to become wide or wider
Widespread,affecting a large area or number of people
Widow,a wife whose husband has died and has yet to remarry
Wield,"To control an item with competence, in particularly a tool or weapon"
